"commune_code","nom","millesimes_1","pourcent_artif_1","surface_artif_1","millesimes_2","pourcent_artif_2","surface_artif_2","flux_surface_1_2","flux_percent_1_2","departement_code","region_code","epci_code","scot_code","commune_surface"
"17245","Montroy","2018",13.6709986166112,549430.0131,"2021",13.6709986190994,549430.0132,0.0001,2.48821763193519e-09,"17","75","241700434","237",4018945.71499996
"17246","Moragne","2018",5.15361824213706,630314.4263,"2021",5.20787538716269,636950.3585,6635.9322,0.0542571450256277,"17","75","200041762","30",12230522.2600001
"17247","Mornac-sur-Seudre","2018",8.17355091101212,796742.361,"2021",10.8449545785805,1057145.7632,260403.4022,2.67140366756835,"17","75","241700640","190",9747811.80999998
"17248","Mortagne-sur-Gironde","2018",4.22098758699873,1457043.2007,"2021",4.26231043455717,1471307.4393,14264.2386,0.0413228475584404,"17","75","241700640","190",34519011.7399992
"17249","Mortiers","2018",7.59018152409903,507981.2477,"2021",7.60843098731293,509202.6131,1221.3654,0.0182494632139036,"17","75","200041523","10322",6692609.99999995
"17250","Mosnac","2018",8.22669329541076,1046140.9929,"2021",8.26185595425146,1050612.4248,4471.4319,0.0351626588407008,"17","75","200041523","10322",12716421.475
"17252","Le Mung","2018",9.37169678874123,703522.3182,"2021",9.45741357229648,709956.9769,6434.6587,0.0857167835552488,"17","75","200041689","31",7506883.05500006
"17253","Muron","2018",3.28210158478044,1300861.6632,"2021",3.3538650718319,1329305.1366,28443.4734,0.0717634870514647,"17","75","200041762","30",39635021.3300002
"17254","Nachamps","2018",9.17885584604786,387557.3838,"2021",9.2280042378198,389632.5686,2075.1848,0.0491483917719382,"17","75","200041689","31",4222284.24000003
"17255","Nancras","2018",17.6668434497904,541754.9734,"2021",18.006692888903,552176.4799,10421.5065,0.339849439112641,"17","75","241700517","32",3066506.89999989
"17256","Nantillé","2018",6.26663929218683,682345.2537,"2021",6.24462506845695,679948.2271,-2397.0266,-0.0220142237298857,"17","75","200041689","31",10888535.655
"17257","Néré","2018",4.68701868654546,1411869.7681,"2021",4.70763240705813,1418079.2353,6209.4672,0.0206137205126629,"17","75","200041689","31",30122981.4199996
"17258","Neuillac","2018",4.95091048756446,517120.2834,"2021",4.95621267886581,517674.0948,553.8114,0.00530219130134491,"17","75","200041523","10322",10444953.2
"17259","Neulles","2018",5.23042175794185,305250.2105,"2021",5.2593603173413,306939.0803,1688.8698,0.0289385593994558,"17","75","200041523","10322",5836053.47
"17260","Neuvicq","2018",5.32341743883654,1218141.7908,"2021",5.34097665872798,1222159.8149,4018.0241,0.0175592198914369,"17","75","200041523","10322",22882702.7900001
"17261","Neuvicq-le-Château","2018",5.2482064554136,794546.1221,"2021",5.3551727562113,810740.161,16194.0389,0.106966300797705,"17","75","200041689","31",15139383.8799999
"17262","Nieul-lès-Saintes","2018",6.92668027804009,1415491.6273,"2021",6.945191123124,1419274.384,3782.7567,0.0185108450839033,"17","75","241700517","32",20435353.8850001
"17263","Nieul-le-Virouil","2018",4.8767341313884,1099983.1415,"2021",4.89328307998734,1103715.8782,3732.7367,0.016548948598933,"17","75","200041523","10322",22555733.24
"17264","Nieul-sur-Mer","2018",26.2287976967122,2865015.8899,"2021",26.2773167704076,2870315.7103,5299.8204,0.0485190736953882,"17","75","241700434","237",10923168.9650004
"17265","Nieulle-sur-Seudre","2018",6.75761086906532,1499723.1979,"2021",8.31960155911405,1846377.3214,346654.1235,1.56199069004873,"17","75","241700699","191",22193097.9300001
"17266","Les Nouillers","2018",5.03552697898101,1196825.5677,"2021",5.0692429570452,1204839.0576,8013.4899,0.0337159780641949,"17","75","200041689","31",23767632.9150001
"17267","Nuaillé-d'Aunis","2018",6.20172102526021,1020711.8677,"2021",6.56827660916653,1081041.5138,60329.6461,0.366555583906313,"17","75","200041499","237",16458526.0049999
"17268","Nuaillé-sur-Boutonne","2018",4.80220347030022,506378.1395,"2021",4.83717111200915,510065.3738,3687.2343,0.0349676417089286,"17","75","200041689","31",10544703.9599999
"17269","Orignolles","2018",10.5792255012348,1464138.9913,"2021",10.8681393110593,1504123.9575,39984.9662,0.288913809824477,"17","75","200041523","10322",13839755.9549998
"17270","Ozillac","2018",7.64036215024442,1211066.8582,"2021",7.69168726135555,1219202.3549,8135.4967,0.0513251111111259,"17","75","200041523","10322",15850909.0850001
"17271","Paillé","2018",5.96010314582473,749195.0088,"2021",5.9609443326387,749300.7474,105.7386,0.000841186813969941,"17","75","200041689","31",12570168.5100003
"17273","Pérignac","2018",7.08474944460784,1959477.4772,"2021",7.12981864876673,1971942.5744,12465.0972,0.0450692041588949,"17","75","200041523","10322",27657682.0750005
"17274","Périgny","2018",49.5422715285136,5444668.6454,"2021",50.0693339488622,5502592.5182,57923.8728,0.527062420348607,"17","75","241700434","237",10989945.5100002
"17275","Pessines","2018",10.9599655307731,999339.7989,"2021",10.9907383989934,1002145.6975,2805.8986,0.0307728682202946,"17","75","200036473","32",9118092.53500006
"17276","Le Pin","2018",6.81756421196024,172043.2168,"2021",6.81756539284617,172043.2466,0.0298,1.18088592682142e-06,"17","75","200041523","10322",2523529.09999997
"17277","Essouvert","2018",7.49836639775545,2265874.3684,"2021",7.5313553681168,2275843.0547,9968.6863,0.0329889703613491,"17","75","200041689","31",30218240.1900001
"17278","Pisany","2018",13.6790503886888,913315.6911,"2021",13.7174233599343,915877.7576,2562.0665,0.0383729712455274,"17","75","200036473","32",6676747.765
"17279","Plassac","2018",7.12204755882797,1110678.8673,"2021",7.33609752822661,1144059.8263,33380.959,0.214049969398646,"17","75","200041523","10322",15594937.5249999
"17280","Plassay","2018",7.41666581636227,1262489.8205,"2021",7.48227952648852,1273658.8071,11168.9866,0.0656137101262511,"17","75","241700517","32",17022336.6100001
"17281","Polignac","2018",7.58208288205365,356698.7025,"2021",7.58733680846348,356945.8732,247.1707,0.00525392640982503,"17","75","200041523","10322",4704494.90000017
"17282","Pommiers-Moulons","2018",6.07262798268851,581350.9727,"2021",6.22596931775128,596030.8007,14679.828,0.153341335062763,"17","75","200041523","10322",9573301.28500018
"17283","Pons","2018",18.2610371966177,5071529.9598,"2021",18.4118808894316,5113422.8873,41892.9275,0.150843692813925,"17","75","200041523","10322",27772409.1199998
"17284","Pont-l'Abbé-d'Arnoult","2018",13.9834558630466,1744756.8931,"2021",14.03822420965,1751590.5007,6833.6076,0.0547683466034048,"17","75","241700517","32",12477293.9549999
"17285","Port-d'Envaux","2018",8.22899304667102,1858871.5313,"2021",8.28508989603178,1871543.4142,12671.8829,0.0560968493607543,"17","75","241700517","32",22589295.2000001
"17286","Les Portes-en-Ré","2018",29.3537575368436,2367163.5565,"2021",28.5042864958042,2298659.9965,-68503.56,-0.849471041039418,"17","75","241700459","",8064260.7800001
"17287","Pouillac","2018",11.2367741977057,519571.1191,"2021",11.2496285016196,520165.4823,594.3632,0.0128543039139561,"17","75","200041523","10322",4623845.86499999
"17288","Poursay-Garnaud","2018",8.90208933820861,467243.3898,"2021",8.96706368012847,470653.6939,3410.3041,0.064974341919859,"17","75","200041689","31",5248693.55999998
"17289","Préguillac","2018",9.95704297442407,661921.1166,"2021",10.0611129600192,668839.4478,6918.3312,0.104069985595169,"17","75","200036473","32",6647767.99999988
"17290","Prignac","2018",5.95852811341071,411519.4156,"2021",5.95266461340892,411114.4592,-404.9564,-0.00586350000178637,"17","75","200041689","31",6906393.78999998
"17291","Puilboreau","2018",46.3238726237237,3702554.6714,"2021",46.6581563956599,3729273.1617,26718.4903,0.334283771936157,"17","75","241700434","237",7992757.21499981
"17292","Puy-du-Lac","2018",4.75381027619545,707009.8536,"2021",4.73104907481217,703624.6967,-3385.1569,-0.0227612013832816,"17","75","200041689","31",14872487.8049999
