DPT du siège de la coll.,Id SISPEA de la collectivité,Nom collectivité,Type collectivité,N° SIREN,N° INSEE si commune,Communes membres de la coll,Avec ou sans CCSPL,Agence(s) de l'eau,Bassin(s) concerné(s),Sous-Unité(s) DCE concernée(s),Id SISPEA de l'entité de gestion,Code UGE de l'entité de gestion,Nom de l'entité de gestion,Communes adhérentes de l'entité de gestion,EPCI adhérents de l'entité de gestion,Pop communes adhérentes,Pop de l'entité de gestion sans double compte,Communes desservies seulement,Production,Transfert,Distribution,Mode de gestion,Statut de l'opérateur,Nom de l'opérateur,Date de début de contrat,Date de fin de contrat,Nb d'ouvrages - Prélèvement,Convention de délégation de compétences,Date de début de la convention de délégation de compétences,Date de fin de la convention de délégation de compétences,Statut,Origine saisie des IP,Origine publication des IP,Id SISPEA ouvrage,Nom ouvrage,Code SISEAUX ouvrage,VP.194,VP.212,VP.223
038,38618,Grenoble Alpes Métropole (LA METRO),Métropole,200040715,,52,Oui,Rhône-Méditerranée-Corse,FRD,FRD_ISER,215437,03800856,eau potable,51,0,456458,448291,0,1,1,1,Régie,Régie à autonomie financière,,2015-01-01 12:00am,,82,Non,,,Confirmé / publié,la collectivité,la collectivité,2311,captage La Merlière à Vif,038000498,,80,
038,38618,Grenoble Alpes Métropole (LA METRO),Métropole,200040715,,52,Oui,Rhône-Méditerranée-Corse,FRD,FRD_ISER,215437,03800856,eau potable,51,0,456458,448291,0,1,1,1,Régie,Régie à autonomie financière,,2015-01-01 12:00am,,82,Non,,,Confirmé / publié,la collectivité,la collectivité,2317,captage Les Clos au Gua (Rossets),038000494,,80,
038,38618,Grenoble Alpes Métropole (LA METRO),Métropole,200040715,,52,Oui,Rhône-Méditerranée-Corse,FRD,FRD_ISER,215437,03800856,eau potable,51,0,456458,448291,0,1,1,1,Régie,Régie à autonomie financière,,2015-01-01 12:00am,,82,Non,,,Confirmé / publié,la collectivité,la collectivité,2318,captage Les Sagnes à Miribel Lanchatre,038000497,,80,
038,38618,Grenoble Alpes Métropole (LA METRO),Métropole,200040715,,52,Oui,Rhône-Méditerranée-Corse,FRD,FRD_ISER,215437,03800856,eau potable,51,0,456458,448291,0,1,1,1,Régie,Régie à autonomie financière,,2015-01-01 12:00am,,82,Non,,,Confirmé / publié,la collectivité,la collectivité,144822,captage Luitel à Séchilienne,038002128,,,
038,38618,Grenoble Alpes Métropole (LA METRO),Métropole,200040715,,52,Oui,Rhône-Méditerranée-Corse,FRD,FRD_ISER,215437,03800856,eau potable,51,0,456458,448291,0,1,1,1,Régie,Régie à autonomie financière,,2015-01-01 12:00am,,82,Non,,,Confirmé / publié,la collectivité,la collectivité,1844,captage Maison Blanche à Claix,038001001,,80,
038,38618,Grenoble Alpes Métropole (LA METRO),Métropole,200040715,,52,Oui,Rhône-Méditerranée-Corse,FRD,FRD_ISER,215437,03800856,eau potable,51,0,456458,448291,0,1,1,1,Régie,Régie à autonomie financière,,2015-01-01 12:00am,,82,Non,,,Confirmé / publié,la collectivité,la collectivité,1611,captage Mathieu aux Côtes à Seyssins,038000813,,80,
038,38618,Grenoble Alpes Métropole (LA METRO),Métropole,200040715,,52,Oui,Rhône-Méditerranée-Corse,FRD,FRD_ISER,215437,03800856,eau potable,51,0,456458,448291,0,1,1,1,Régie,Régie à autonomie financière,,2015-01-01 12:00am,,82,Non,,,Confirmé / publié,la collectivité,la collectivité,1617,captage Mathieux à Séchilienne,038000149,,40,
038,38618,Grenoble Alpes Métropole (LA METRO),Métropole,200040715,,52,Oui,Rhône-Méditerranée-Corse,FRD,FRD_ISER,215437,03800856,eau potable,51,0,456458,448291,0,1,1,1,Régie,Régie à autonomie financière,,2015-01-01 12:00am,,82,Non,,,Confirmé / publié,la collectivité,la collectivité,1962,captage Mont St Martin à Mont St Martin,038001184,,80,
038,38618,Grenoble Alpes Métropole (LA METRO),Métropole,200040715,,52,Oui,Rhône-Méditerranée-Corse,FRD,FRD_ISER,215437,03800856,eau potable,51,0,456458,448291,0,1,1,1,Régie,Régie à autonomie financière,,2015-01-01 12:00am,,82,Non,,,Confirmé / publié,la collectivité,la collectivité,144824,captage Mont sec à Séchilienne (nouveau),038002126,,,
038,38618,Grenoble Alpes Métropole (LA METRO),Métropole,200040715,,52,Oui,Rhône-Méditerranée-Corse,FRD,FRD_ISER,215437,03800856,eau potable,51,0,456458,448291,0,1,1,1,Régie,Régie à autonomie financière,,2015-01-01 12:00am,,82,Non,,,Confirmé / publié,la collectivité,la collectivité,1586,captage Montenu à Proveyzieux,038001766,,80,
