Code_commune_residence,Commune_residence,Code_lieu_etudes,Lieu_etudes,Eleves_etudiants_flux_domicile_etudes
35131,L'Hermitage,35131,L'Hermitage,451.1
35131,L'Hermitage,35173,Melesse,19.24
35131,L'Hermitage,35189,Montgermont,5.22
35131,L'Hermitage,35196,Mordelles,72.79
35131,L'Hermitage,35210,Pacé,14.43
35131,L'Hermitage,35238,Rennes,292.39
35131,L'Hermitage,35240,Le Rheu,172.32
35131,L'Hermitage,35353,Vezin-le-Coquet,10.44
35131,L'Hermitage,44051,Derval,4.81
35131,L'Hermitage,62041,Arras,5.01
35139,Laillé,31417,Pibrac,4.86
35139,Laillé,35012,Bain-de-Bretagne,9.15
35139,Laillé,35047,Bruz,272.11
35139,Laillé,35051,Cesson-Sévigné,9.72
35139,Laillé,35055,Chantepie,4.86
35139,Laillé,35090,Crevin,5.15
35139,Laillé,35122,La Gouesnière,4.86
35139,Laillé,35139,Laillé,607.79
35139,Laillé,35208,Orgères,193.11
35139,Laillé,35236,Redon,5.31
35139,Laillé,35238,Rennes,253.56
35139,Laillé,35251,Saint-Aubin-d'Aubigné,5.15
35139,Laillé,35281,Saint-Jacques-de-la-Lande,4.86
35139,Laillé,35337,Tinténiac,10.01
35139,Laillé,35363,Pont-Péan,9.71
35139,Laillé,56121,Lorient,4.86
35139,Laillé,75116,Paris 16e Arrondissement,4.86
35144,Langan,22136,Loudéac,4.8
35144,Langan,35024,Betton,4.8
35144,Langan,35051,Cesson-Sévigné,10.02
35144,Langan,35120,Gévezé,9.81
35144,Langan,35144,Langan,98.32
35144,Langan,35177,La Mézière,9.81
35144,Langan,35188,Montfort-sur-Meu,4.9
35144,Langan,35210,Pacé,9.81
35144,Langan,35238,Rennes,44.15
35144,Langan,35245,Romillé,24.42
35144,Langan,35278,Saint-Grégoire,25.27
35144,Langan,35337,Tinténiac,14.82
35144,Langan,56165,Ploërmel,5.01
35180,Miniac-sous-Bécherel,22278,Saint-Brieuc,5.73
35180,Miniac-sous-Bécherel,35022,Bécherel,21.37
35180,Miniac-sous-Bécherel,35050,Cardroc,16.66
35180,Miniac-sous-Bécherel,35120,Gévezé,24.06
35180,Miniac-sous-Bécherel,35180,Miniac-sous-Bécherel,54.42
35180,Miniac-sous-Bécherel,35184,Montauban-de-Bretagne,5.46
35180,Miniac-sous-Bécherel,35188,Montfort-sur-Meu,5.46
35180,Miniac-sous-Bécherel,35238,Rennes,16.13
35180,Miniac-sous-Bécherel,35245,Romillé,10.67
35180,Miniac-sous-Bécherel,35278,Saint-Grégoire,5.46
35180,Miniac-sous-Bécherel,35297,Saint-Méen-le-Grand,5.73
35180,Miniac-sous-Bécherel,35337,Tinténiac,22.12
35180,Miniac-sous-Bécherel,44109,Nantes,4.96
35189,Montgermont,22050,Dinan,5.37
35189,Montgermont,35047,Bruz,15.99
35189,Montgermont,35051,Cesson-Sévigné,16.34
35189,Montgermont,35115,Fougères,5.25
35189,Montgermont,35125,La Guerche-de-Bretagne,5.01
35189,Montgermont,35189,Montgermont,319.75
35189,Montgermont,35210,Pacé,156.87
35189,Montgermont,35238,Rennes,348.73
35189,Montgermont,35251,Saint-Aubin-d'Aubigné,5.25
35189,Montgermont,35278,Saint-Grégoire,47.29
35189,Montgermont,35284,Saint-Jouan-des-Guérets,5.25
35189,Montgermont,50147,Coutances,5.37
35189,Montgermont,67482,Strasbourg,5.37
35189,Montgermont,72181,Le Mans,10.74
35196,Mordelles,22136,Loudéac,5.02
35196,Mordelles,22187,Plérin,5.02
35196,Mordelles,22278,Saint-Brieuc,10.03
35196,Mordelles,25056,Besançon,5.02
35196,Mordelles,27698,Vitot,5.02
35196,Mordelles,35016,Baulon,10.03
35196,Mordelles,35037,Bréal-sous-Montfort,15.05
35196,Mordelles,35047,Bruz,90.28
35196,Mordelles,35051,Cesson-Sévigné,30.09
35196,Mordelles,35055,Chantepie,10.03
35196,Mordelles,35066,Chartres-de-Bretagne,10.03
35196,Mordelles,35080,Cintré,5.02
35196,Mordelles,35196,Mordelles,907.74
35196,Mordelles,35236,Redon,5.02
35196,Mordelles,35238,Rennes,391.22
35196,Mordelles,35240,Le Rheu,90.28
35196,Mordelles,35281,Saint-Jacques-de-la-Lande,5.02
35196,Mordelles,35319,Saint-Thurial,5.02
35196,Mordelles,35360,Vitré,5.02
35196,Mordelles,38185,Grenoble,5.02
35196,Mordelles,44109,Nantes,10.03
35196,Mordelles,49331,Segré-en-Anjou Bleu,5.02
35196,Mordelles,56080,Guilliers,5.02
35196,Mordelles,56165,Ploërmel,10.03
35196,Mordelles,75116,Paris 16e Arrondissement,5.02
35196,Mordelles,84007,Avignon,10.03
35196,Mordelles,88160,Épinal,5.02
35204,Nouvoitou,22278,Saint-Brieuc,4.9
35204,Nouvoitou,35047,Bruz,23.75
35204,Nouvoitou,35051,Cesson-Sévigné,23.75
35204,Nouvoitou,35066,Chartres-de-Bretagne,4.69
35204,Nouvoitou,35069,Châteaugiron,74.62
35204,Nouvoitou,35095,Dol-de-Bretagne,9.38
35204,Nouvoitou,35099,Domloup,9.18
35204,Nouvoitou,35123,Goven,4.69
35204,Nouvoitou,35136,Janzé,9.69
35204,Nouvoitou,35193,Montreuil-le-Gast,4.9
35204,Nouvoitou,35204,Nouvoitou,433.53
35204,Nouvoitou,35238,Rennes,198.39
35204,Nouvoitou,35337,Tinténiac,4.69
35204,Nouvoitou,35352,Vern-sur-Seiche,177.45
35204,Nouvoitou,45234,Orléans,4.69
35204,Nouvoitou,49248,Ombrée d'Anjou,4.49
35204,Nouvoitou,53130,Laval,4.49
35204,Nouvoitou,53182,Port-Brillet,9.17
