annee_universitaire,niveau_geographique,geo_nom,regroupement,rgp_formations_ou_etablissements,secteur,secteur_de_l_etablissement,sexe,sexe_de_l_etudiant,effectif,effectifhdccpge,a_des_effectifs_dut,effectif_dut,a_des_effectifs_ing,effectif_ing,a_des_effectifs_form_ens,effectif_form_ens,a_des_effectifs_apprentis_sts,effectif_apprentis_en_sts,effectif_atlas,niveau_geo,geo_id,reg_id,aca_id,dep_id,uucr_id,rentree,annee
2010-11,Commune,Rennes,EC_autres,Autres écoles de spécialités diverses,PU,Établissements publics,2,Feminin,361,0,non,0,non,0,non,0,non,0,361,COMMUNE,35238,R53,A14,D035,UU35701,2010,2011
2010-11,Commune,Cesson-Sévigné,EC_autres,Autres écoles de spécialités diverses,PU,Établissements publics,2,Feminin,15,0,non,0,non,0,non,0,non,0,15,COMMUNE,35051,R53,A14,D035,UU35701,2010,2011
2010-11,Commune,Vienne,EC_autres,Autres écoles de spécialités diverses,PR,Établissements privés,1,Masculin,5,0,non,0,non,0,non,0,non,0,5,COMMUNE,38544,R84,A08,D038,UU00559,2010,2011
2008-09,Commune,Cesson-Sévigné,TOTAL,Total des formations d'enseignement supérieur,PU,Établissements publics,1,Masculin,139,0,non,0,non,0,non,0,non,0,139,COMMUNE,35051,R53,A14,D035,UU35701,2008,2009
2008-09,Commune,Vitré,STS,Sections de techniciens supérieurs (STS) et assimilés,PU,Établissements publics,2,Feminin,102,0,non,0,non,0,non,0,non,0,102,COMMUNE,35360,R53,A14,D035,UU35303,2008,2009
2009-10,Commune,Vizille,TOTAL,Total des formations d'enseignement supérieur,PU,Établissements publics,1,Masculin,58,0,non,0,non,0,non,0,non,0,58,COMMUNE,38562,R84,A08,D038,UU38401,2009,2010
2009-10,Commune,Saint-Martin-d'Hères,TOTAL,Total des formations d'enseignement supérieur,PU,Établissements publics,1,Masculin,13013,0,oui,1584,non,0,non,0,non,0,13013,COMMUNE,38421,R84,A08,D038,UU38701,2009,2010
2009-10,Commune,Échirolles,TOTAL,Total des formations d'enseignement supérieur,PR,Établissements privés,1,Masculin,95,0,non,0,non,0,non,0,non,0,95,COMMUNE,38151,R84,A08,D038,UU38701,2009,2010
2009-10,Commune,Rennes,TOTAL,Total des formations d'enseignement supérieur,PR,Établissements privés,1,Masculin,2895,0,non,0,non,0,non,0,non,0,2895,COMMUNE,35238,R53,A14,D035,UU35701,2009,2010
2009-10,Commune,Redon,STS,Sections de techniciens supérieurs (STS) et assimilés,PU,Établissements publics,2,Feminin,85,0,non,0,non,0,non,0,non,0,85,COMMUNE,35236,R53,A14,D035,UU00456,2009,2010
2009-10,Commune,Redon,STS,Sections de techniciens supérieurs (STS) et assimilés,PR,Établissements privés,1,Masculin,143,0,non,0,non,0,non,0,non,0,143,COMMUNE,35236,R53,A14,D035,UU00456,2009,2010
2009-10,Commune,Bruz,EPEU,Établissements d'enseignement universitaire privés,PR,Établissements privés,1,Masculin,142,0,non,0,non,0,non,0,non,0,142,COMMUNE,35047,R53,A14,D035,UU35701,2009,2010
2009-10,Commune,Bruz,EC_PARAM,Écoles paramédicales et sociales,PR,Établissements privés,1,Masculin,58,0,non,0,non,0,non,0,non,0,58,COMMUNE,35047,R53,A14,D035,UU35701,2009,2010
2011-12,Département,Isère,TOTAL,Total des formations d'enseignement supérieur,PU,Établissements publics,1,Masculin,23914,0,oui,2436,non,0,non,0,non,0,23914,DEPARTEMENT,D038,R84,A08,D038,,2011,2012
2011-12,Département,Isère,STS,Sections de techniciens supérieurs (STS) et assimilés,PU,Établissements publics,2,Feminin,1430,0,non,0,non,0,non,0,non,0,1430,DEPARTEMENT,D038,R84,A08,D038,,2011,2012
2007-08,Commune,Meylan,STS,Sections de techniciens supérieurs (STS) et assimilés,PU,Établissements publics,2,Feminin,1,0,non,0,non,0,non,0,non,0,1,COMMUNE,38229,R84,A08,D038,UU38701,2007,2008
2010-11,Commune,Rennes,EC_COM,"Écoles de commerce, gestion et comptabilité",PR,Établissements privés,2,Feminin,994,0,non,0,non,0,non,0,non,0,994,COMMUNE,35238,R53,A14,D035,UU35701,2010,2011
2010-11,Commune,Saint-Jouan-des-Guérets,EC_COM,"Écoles de commerce, gestion et comptabilité",PR,Établissements privés,1,Masculin,9,0,non,0,non,0,non,0,non,0,9,COMMUNE,35284,R53,A14,D035,UU35104,2010,2011
2010-11,Commune,La Tronche,CPGE,Classes préparatoires aux grandes écoles (CPGE),PR,Établissements privés,2,Feminin,26,0,non,0,non,0,non,0,non,0,26,COMMUNE,38516,R84,A08,D038,UU38701,2010,2011
2010-11,Commune,Redon,CPGE,Classes préparatoires aux grandes écoles (CPGE),PR,Établissements privés,2,Feminin,1,0,non,0,non,0,non,0,non,0,1,COMMUNE,35236,R53,A14,D035,UU00456,2010,2011
2010-11,Département,Ille-et-Vilaine,EC_ART,Écoles supérieures art et culture,PU,Établissements publics,2,Feminin,585,0,non,0,non,0,non,0,non,0,585,DEPARTEMENT,D035,R53,A14,D035,,2010,2011
