CodGeo;Note;nbLsPls;nbLsMes;txVac;txVac3m;txRot;txLsCol;txLsInd;txLs1p;txLs2p;txLs3p;txLs4p;txLs5pp;txLsm30;txLs30a40;txLs40a60;txLs60a80;txLs80a100;txLs100a120;txLs120p;txLsAv49;txLs49a75;txLs76a88;txLs89a00;txLs01a13;txLsAp13;txLsPlai;txLsPlusAv77;txLsPlusAp77;txLsPls;txLsPli;moyLoy;q1Loy;medLoy;q3Loy
69275;0;2977;0;1,7;0,4;5,5;94,2;5,8;5,2;19,1;37,8;28;9,9;2,1;3,4;29,7;36,5;25,5;2,3;0,4;0,6;46,5;8,3;10,2;19,8;14,7;8;52,4;33,8;4,8;1;6,6;5,55;6,46;7,44
69276;0;1338;0;1,3;1,3;7,6;98,7;1,3;4,3;17,9;40,5;29,6;7,7;1;3,9;25;44,4;24,6;1,1;0;0;36,5;16,4;1,2;9,2;36,7;8,9;46;34,6;9,4;1,1;6,69;5,52;6,55;7,42
69277;0;532;15;0;0;4,5;59,7;40,3;2,3;18,4;38,3;35,2;5,8;0;0;24,2;41,6;30,9;3,3;0;0;3,1;13,7;8,7;40,8;33,7;15,8;0;75,4;8,8;0;7,32;6,64;7,14;7,91
69279;0;22;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9,94;;;
69282;0;2698;0;1;0,5;6,2;94,3;5,7;2,4;20,1;35,2;31,1;11,2;0,5;3,2;20,2;48;24,6;3;0,4;0,4;33,5;14,9;7,7;19;24,5;7,9;41,7;35,5;13,2;1,7;6,93;5,67;6,96;7,79
69283;0;904;11;1,2;0;5,1;69,4;30,6;4,4;19,7;33,4;32,4;10,2;1,4;4,5;20,8;34,9;34,6;3,8;0;6,3;6,9;11,4;8;35,4;32;14,7;7;71;7,3;0;7,12;6,61;7,02;7,51
69286;0;6320;41;5,8;4,1;4,8;99,4;0,6;3;14,8;34,3;35;12,9;0,9;3,1;15,5;54,3;20,9;5;0,4;0;86,1;1,3;1,4;4,8;6,4;1,4;84,3;7,1;3,5;3,5;5,92;5,19;5,74;6,34
69287;0;152;11;7,1;0;7,9;62,3;37,7;7,7;24,4;28;39,9;0;0;7,4;27;31,1;34,5;0;0;0;0;0;15,6;46,3;38,1;14,3;0;50;25;10,7;7,88;6,64;7,42;8,98
69290;0;6393;81;1,3;0,2;4,1;98,5;1,5;6,1;16,2;33,8;31,6;12,3;4,3;3;16,9;40,4;32,7;2,5;0,2;1;50,5;16,8;6,8;13,4;11,5;3,6;62,3;22,5;7,6;4;5,88;4,89;5,42;6,6
69291;0;254;0;0;4,3;4,4;89,7;10,3;4,8;19,4;42,1;29,7;4;0;0;27,9;57;15,1;0;0;0;29,3;12,7;0;26,1;31,8;17,9;22,1;51,2;8,8;0;6,68;5,48;6,79;7,4
