code_residence,commune_residence,dep_residence,code_travail,commune_travail,dep_travail,flux,annee
07247,Saint-Jean-le-Centenier,07,38185,Grenoble,38,5.25396841808523,2019
07257,Saint-Julien-le-Roux,07,42218,Saint-Étienne,42,5.32710280373832,2019
07261,Saint-Laurent-du-Pape,07,38185,Grenoble,38,4.965625,2019
07261,Saint-Laurent-du-Pape,07,38485,Seyssinet-Pariset,38,4.96562499999995,2019
07265,Saint-Marcel-lès-Annonay,07,42095,Firminy,42,5.0,2019
07265,Saint-Marcel-lès-Annonay,07,42218,Saint-Étienne,42,15.0,2019
07270,Saint-Martin-sur-Lavezon,07,34172,Montpellier,34,5.04486625930722,2019
07278,Saint-Michel-de-Chabrillanoux,07,38150,Domène,38,9.62406015037703,2019
07278,Saint-Michel-de-Chabrillanoux,07,38185,Grenoble,38,4.81203007518852,2019
07279,Saint-Montan,07,42237,Saint-Jean-Bonnefonds,42,5.09384506686457,2019
07281,Saint-Péray,07,38151,Échirolles,38,10.0574011299435,2019
07281,Saint-Péray,07,38185,Grenoble,38,5.02870056497175,2019
07281,Saint-Péray,07,38540,Veurey-Voroize,38,5.02870056497185,2019
07281,Saint-Péray,07,42237,Saint-Jean-Bonnefonds,42,5.0287005649717,2019
07292,Saint-Romain-d'Ay,07,38474,Sassenage,38,5.52940654494532,2019
07309,Satillieu,07,38185,Grenoble,38,5.0,2019
07309,Satillieu,07,42305,La Talaudière,42,5.0,2019
07310,Savas,07,38185,Grenoble,38,5.05192225261008,2019
07310,Savas,07,42218,Saint-Étienne,42,5.22526942987211,2019
07313,Serrières,07,38185,Grenoble,38,10.0,2019
07319,Le Teil,07,34172,Montpellier,34,5.01429897231753,2019
07319,Le Teil,07,38185,Grenoble,38,10.0255152077914,2019
07319,Le Teil,07,42218,Saint-Étienne,42,5.00967628833134,2019
07324,Tournon-sur-Rhône,07,38179,Gières,38,2.45950245236475,2019
07324,Tournon-sur-Rhône,07,38421,Saint-Martin-d'Hères,38,1.36282180729488,2019
07324,Tournon-sur-Rhône,07,38540,Veurey-Voroize,38,3.0257533853581,2019
07324,Tournon-sur-Rhône,07,42223,Saint-Genest-Lerpt,42,2.09752725659883,2019
07325,Ucel,07,42218,Saint-Étienne,42,5.01391783806436,2019
07328,Vagnas,07,34172,Montpellier,34,4.8338822916747,2019
07331,Vals-les-Bains,07,38185,Grenoble,38,4.77155219736751,2019
07331,Vals-les-Bains,07,42218,Saint-Étienne,42,4.31589400622392,2019
07332,Valvignères,07,34172,Montpellier,34,4.97711766336518,2019
07333,Vanosc,07,42095,Firminy,42,4.98502864646909,2019
07337,Vernosc-lès-Annonay,07,38185,Grenoble,38,5.03874467260827,2019
07337,Vernosc-lès-Annonay,07,42218,Saint-Étienne,42,4.99999999985098,2019
07340,Veyras,07,38185,Grenoble,38,10.0,2019
07342,Villevocance,07,42218,Saint-Étienne,42,5.0,2019
08008,Amagne,08,34198,Pérols,34,5.13346544616393,2019
08105,Charleville-Mézières,08,34172,Montpellier,34,8.30870185574468,2019
08105,Charleville-Mézières,08,35058,La Chapelle-Chaussée,35,5.00003222436745,2019
08105,Charleville-Mézières,08,76540,Rouen,76,2.9894959811258,2019
08356,Remaucourt,08,42186,Rive-de-Gier,42,5.0,2019
08363,Revin,08,42218,Saint-Étienne,42,5.0,2019
09003,L'Aiguillon,09,34129,Lattes,34,5.20997375328082,2019
09119,Eycheil,09,34172,Montpellier,34,4.50797000884849,2019
09122,Foix,09,34172,Montpellier,34,4.92626077663503,2019
09123,Fornex,09,38185,Grenoble,38,5.0,2019
09184,Mauvezin-de-Sainte-Croix,09,34172,Montpellier,34,4.59183673469388,2019
09199,Montaut,09,35238,Rennes,35,5.0,2019
09225,Pamiers,09,34172,Montpellier,34,6.23762074129655,2019
10167,Grandville,10,38524,Varces-Allières-et-Risset,38,4.69072164948454,2019
10171,Hampigny,10,34198,Pérols,34,4.48246386836472,2019
10224,Marigny-le-Châtel,10,35238,Rennes,35,4.99583911198039,2019
10276,Paisy-Cosdon,10,35024,Betton,35,5.0,2019
10321,La Rivière-de-Corps,10,76540,Rouen,76,5.64320151682486,2019
10323,Romilly-sur-Seine,10,38185,Grenoble,38,3.63298695221637,2019
10343,Saint-Julien-les-Villas,10,35238,Rennes,35,4.92327894530383,2019
10387,Troyes,10,34172,Montpellier,34,6.26383091440167,2019
10387,Troyes,10,34337,Villeneuve-lès-Maguelone,34,3.13191545720084,2019
10387,Troyes,10,35238,Rennes,35,3.41550417584003,2019
10387,Troyes,10,42218,Saint-Étienne,42,6.54533585569984,2019
11012,Argeliers,11,34172,Montpellier,34,5.17660537369843,2019
11014,Armissan,11,34172,Montpellier,34,9.81323535255536,2019
11014,Armissan,11,34270,Saint-Jean-de-Védas,34,5.05490246454119,2019
11022,Azille,11,34172,Montpellier,34,5.0,2019
11023,Badens,11,34057,Castelnau-le-Lez,34,5.0,2019
11023,Badens,11,34172,Montpellier,34,5.0,2019
11040,Bizanet,11,34172,Montpellier,34,15.0638551748856,2019
11067,Canet,11,34172,Montpellier,34,5.01688616412958,2019
11069,Carcassonne,11,34022,Baillargues,34,1.02141433430375,2019
11069,Carcassonne,11,34057,Castelnau-le-Lez,34,1.02141433430375,2019
11069,Carcassonne,11,34172,Montpellier,34,34.412093141634,2019
11069,Carcassonne,11,38185,Grenoble,38,3.90728652033322,2019
11069,Carcassonne,11,76498,Le Petit-Quevilly,76,2.78383908650054,2019
11076,Castelnaudary,11,34172,Montpellier,34,5.88736092602686,2019
11076,Castelnaudary,11,34198,Pérols,34,1.85312399171221,2019
11089,Cenne-Monestiés,11,35240,Le Rheu,35,5.06980258169027,2019
11090,Cépie,11,34172,Montpellier,34,4.91574598108327,2019
11098,Conilhac-Corbières,11,34172,Montpellier,34,5.03337041156841,2019
11099,Conques-sur-Orbiel,11,34172,Montpellier,34,5.18175053925815,2019
11106,Coursan,11,34172,Montpellier,34,40.2771228920034,2019
11106,Coursan,11,42218,Saint-Étienne,42,5.03464036149974,2019
