metropole,code_commune,nom_commune,annee,lieu_travail,sexe,mode_transport,valeur
Rouen,76475,Franqueville-Saint-Pierre,2020,Commune de résidence,Hommes,Pas de transport,15.0
Rouen,76484,Oissel,2020,Commune de résidence,Hommes,Pas de transport,66.4604754254
Rouen,76486,Orival,2020,Commune de résidence,Hommes,Pas de transport,5.0337012686
Rouen,76497,Petit-Couronne,2020,Commune de résidence,Hommes,Pas de transport,45.0
Rouen,76498,Le Petit-Quevilly,2020,Commune de résidence,Hommes,Pas de transport,61.662971803
Rouen,76513,Quevillon,2020,Commune de résidence,Hommes,Pas de transport,10.0768089374
Rouen,76514,Quévreville-la-Poterie,2020,Commune de résidence,Hommes,Pas de transport,0.0
Rouen,76536,Roncherolles-sur-le-Vivier,2020,Commune de résidence,Hommes,Pas de transport,5.0284838054
Rouen,76540,Rouen,2020,Commune de résidence,Hommes,Pas de transport,561.6341614766
Rouen,76550,Sahurs,2020,Commune de résidence,Hommes,Pas de transport,0.0
Rouen,76558,Saint-Aubin-Celloville,2020,Commune de résidence,Hommes,Pas de transport,0.0
Rouen,76560,Saint-Aubin-Épinay,2020,Commune de résidence,Hommes,Pas de transport,4.9877036688
Rouen,76561,Saint-Aubin-lès-Elbeuf,2020,Commune de résidence,Hommes,Pas de transport,29.5290249041
Rouen,76575,Saint-Étienne-du-Rouvray,2020,Commune de résidence,Hommes,Pas de transport,81.3773303739
Rouen,76591,Saint-Jacques-sur-Darnétal,2020,Commune de résidence,Hommes,Pas de transport,20.9950939977
Rouen,76599,Saint-Léger-du-Bourg-Denis,2020,Commune de résidence,Hommes,Pas de transport,20.4824193818
Rouen,76608,Sainte-Marguerite-sur-Duclair,2020,Commune de résidence,Hommes,Pas de transport,5.0
Rouen,76614,Saint-Martin-de-Boscherville,2020,Commune de résidence,Hommes,Pas de transport,5.0376901749
Rouen,76617,Saint-Martin-du-Vivier,2020,Commune de résidence,Hommes,Pas de transport,10.0
Rouen,76631,Saint-Paër,2020,Commune de résidence,Hommes,Pas de transport,9.9177836504
Rouen,76634,Saint-Pierre-de-Manneville,2020,Commune de résidence,Hommes,Pas de transport,5.0
Rouen,76636,Saint-Pierre-de-Varengeville,2020,Commune de résidence,Hommes,Pas de transport,0.0
Rouen,76640,Saint-Pierre-lès-Elbeuf,2020,Commune de résidence,Hommes,Pas de transport,20.0811896885
Rouen,76681,Sotteville-lès-Rouen,2020,Commune de résidence,Hommes,Pas de transport,123.4844333881
Rouen,76682,Sotteville-sous-le-Val,2020,Commune de résidence,Hommes,Pas de transport,0.0
Rouen,76705,Tourville-la-Rivière,2020,Commune de résidence,Hommes,Pas de transport,9.7908573339
Rouen,76709,Le Trait,2020,Commune de résidence,Hommes,Pas de transport,15.7170061992
Rouen,76717,Val-de-la-Haye,2020,Commune de résidence,Hommes,Pas de transport,0.0
Rouen,76750,Yainville,2020,Commune de résidence,Hommes,Pas de transport,0.0
Rouen,76753,Ymare,2020,Commune de résidence,Hommes,Pas de transport,5.2449658808
Rouen,76759,Yville-sur-Seine,2020,Commune de résidence,Hommes,Pas de transport,4.864507764
Montpellier,34022,Baillargues,2020,Commune de résidence,Hommes,Marche à pied,85.0
Montpellier,34027,Beaulieu,2020,Commune de résidence,Hommes,Marche à pied,10.8343197285
Montpellier,34057,Castelnau-le-Lez,2020,Commune de résidence,Hommes,Marche à pied,143.8541821215
Montpellier,34058,Castries,2020,Commune de résidence,Hommes,Marche à pied,41.0330333596
Montpellier,34077,Clapiers,2020,Commune de résidence,Hommes,Marche à pied,9.1729735448
Montpellier,34087,Cournonsec,2020,Commune de résidence,Hommes,Marche à pied,0.0
Montpellier,34088,Cournonterral,2020,Commune de résidence,Hommes,Marche à pied,41.3695778584
Montpellier,34090,Le Crès,2020,Commune de résidence,Hommes,Marche à pied,15.0
Montpellier,34095,Fabrègues,2020,Commune de résidence,Hommes,Marche à pied,35.251061193
Montpellier,34116,Grabels,2020,Commune de résidence,Hommes,Marche à pied,38.8669185509
Montpellier,34120,Jacou,2020,Commune de résidence,Hommes,Marche à pied,24.9955134459
Montpellier,34123,Juvignac,2020,Commune de résidence,Hommes,Marche à pied,39.9863819579
Montpellier,34129,Lattes,2020,Commune de résidence,Hommes,Marche à pied,99.2805793505
Montpellier,34134,Lavérune,2020,Commune de résidence,Hommes,Marche à pied,9.9978647841
Montpellier,34164,Montaud,2020,Commune de résidence,Hommes,Marche à pied,5.3744200904
Montpellier,34169,Montferrier-sur-Lez,2020,Commune de résidence,Hommes,Marche à pied,15.212894414
Montpellier,34172,Montpellier,2020,Commune de résidence,Hommes,Marche à pied,4869.1217473439
Montpellier,34179,Murviel-lès-Montpellier,2020,Commune de résidence,Hommes,Marche à pied,14.6936059302
Montpellier,34198,Pérols,2020,Commune de résidence,Hommes,Marche à pied,57.6848246437
Montpellier,34202,Pignan,2020,Commune de résidence,Hommes,Marche à pied,35.338632686
Montpellier,34217,Prades-le-Lez,2020,Commune de résidence,Hommes,Marche à pied,4.6974030496
Montpellier,34227,Restinclières,2020,Commune de résidence,Hommes,Marche à pied,10.3435240869
Montpellier,34244,Saint-Brès,2020,Commune de résidence,Hommes,Marche à pied,0.0
Montpellier,34249,Saint-Drézéry,2020,Commune de résidence,Hommes,Marche à pied,0.0
Montpellier,34256,Saint-Geniès-des-Mourgues,2020,Commune de résidence,Hommes,Marche à pied,16.7591947094
Montpellier,34259,Saint-Georges-d'Orques,2020,Commune de résidence,Hommes,Marche à pied,25.0
Montpellier,34270,Saint-Jean-de-Védas,2020,Commune de résidence,Hommes,Marche à pied,71.5343502244
Montpellier,34295,Saussan,2020,Commune de résidence,Hommes,Marche à pied,0.0
Montpellier,34307,Sussargues,2020,Commune de résidence,Hommes,Marche à pied,0.0
Montpellier,34327,Vendargues,2020,Commune de résidence,Hommes,Marche à pied,10.9015812496
Montpellier,34337,Villeneuve-lès-Maguelone,2020,Commune de résidence,Hommes,Marche à pied,73.8796305612
Rennes,35001,Acigné,2020,Commune de résidence,Hommes,Marche à pied,41.8859768612
Rennes,35022,Bécherel,2020,Commune de résidence,Hommes,Marche à pied,10.0
Rennes,35024,Betton,2020,Commune de résidence,Hommes,Marche à pied,48.2825321291
Rennes,35032,Bourgbarré,2020,Commune de résidence,Hommes,Marche à pied,5.5318709021
Rennes,35039,Brécé,2020,Commune de résidence,Hommes,Marche à pied,4.9744705336
Rennes,35047,Bruz,2020,Commune de résidence,Hommes,Marche à pied,96.5858149258
Rennes,35051,Cesson-Sévigné,2020,Commune de résidence,Hommes,Marche à pied,216.5365570974
Rennes,35055,Chantepie,2020,Commune de résidence,Hommes,Marche à pied,32.8600452946
Rennes,35058,La Chapelle-Chaussée,2020,Commune de résidence,Hommes,Marche à pied,0.0
Rennes,35059,La Chapelle-des-Fougeretz,2020,Commune de résidence,Hommes,Marche à pied,0.0
Rennes,35065,La Chapelle-Thouarault,2020,Commune de résidence,Hommes,Marche à pied,5.0
Rennes,35066,Chartres-de-Bretagne,2020,Commune de résidence,Hommes,Marche à pied,25.9814132221
Rennes,35076,Chavagne,2020,Commune de résidence,Hommes,Marche à pied,10.948113442
